,,File-Name,Image URL,,,,,,,,,,,,,,,,,
1,Ladies,Annika-Competitor-Pull-On-Skort-Black,https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/CutterBuck/LAB07039_BL_MANN_HG?printRes=300&amp;&wid=4000,,,,,,,,,,,,,,,,,
2,Ladies,Annika-Dimension-Colorblock-SL-Polo-Atlantic,https://a248.e.akamai.net/f/248/9086/10h/origin-d4.scene7.com/is/image/CutterBuck/LAK00141_ATL_MANN_HG?printRes=300&amp;&wid=4000,,,,,,,,,,,,,,,,Adidas-3-Stripe-Basic-Polo-Glory-Blue-Grey-Two,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/81c505d01e65440dbb6daacd00fe5bb0_9366/3_Stripe_Basic_Polo_Shirt_Blue_FJ9843_21_model.jpg"
3,Ladies,Callaway-Ladies-Visor-Black,https://cdn-us-ec.yottaa.net/58f0c36232f01c6abd17a924/www.callawaygolf.com/v~4b.3f/dw/image/v2/AADH_PRD/on/demandware.static/-/Sites-CGI-ItemMaster/en_US/v1587419107171/sits/headwear-2019-clip-visor-womens/headwear-2019-clip-visor-womens_1___1.png?sfrm=png&yocs=y_,,,,,,,,,,,,,,,,Adidas-3-Stripe-Basic-Polo-Glory-Blue-Grey-Two,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/81c505d01e65440dbb6daacd00fe5bb0_9366/3_Stripe_Basic_Polo_Shirt_Blue_FJ9843_21_model.jpg"
4,Ladies,Callaway-Ladies-Visor-Purple,https://cdn-us-ec.yottaa.net/58f0c36232f01c6abd17a924/www.callawaygolf.com/v~4b.3f/dw/image/v2/AADH_PRD/on/demandware.static/-/Sites-CGI-ItemMaster/en_US/v1587419107171/sits/headwear-2019-clip-visor-womens/headwear-2019-clip-visor-womens_169___1.png?sfrm=png&yocs=y_,,,,,,,,,,,,,,,,Adidas-3-Stripe-Basic-Polo-Grey-Three-Black,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/67fc124f6fe84f60a810aacc00930dd4_9366/3_Stripe_Basic_Polo_Shirt_Grey_FJ9838_21_model.jpg"
5,Ladies,Callaway-Ladies-Visor-Silver,https://cdn-us-ec.yottaa.net/58f0c36232f01c6abd17a924/www.callawaygolf.com/v~4b.3f/dw/image/v2/AADH_PRD/on/demandware.static/-/Sites-CGI-ItemMaster/en_US/v1587419107171/sits/headwear-2019-clip-visor-womens/headwear-2019-clip-visor-womens_198___1.png?sfrm=png&yocs=y_,,,,,,,,,,,,,,,,Adidas-3-Stripe-Basic-Polo-Grey-Three-Black,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/67fc124f6fe84f60a810aacc00930dd4_9366/3_Stripe_Basic_Polo_Shirt_Grey_FJ9838_21_model.jpg"
6,Ladies,Callaway-Ladies-Visor-Charcoal,https://cdn-us-ec.yottaa.net/58f0c36232f01c6abd17a924/www.callawaygolf.com/v~4b.3f/dw/image/v2/AADH_PRD/on/demandware.static/-/Sites-CGI-ItemMaster/en_US/v1587419107171/sits/headwear-2019-clip-visor-womens/headwear-2019-clip-visor-womens_381___1.png?sfrm=png&yocs=y_,,,,,,,,,,,,,,,,Adidas-Sport-Aero-Polo-Black-White,https://trendygolf.imgix.net/uploads/asset_file/asset_file/18467/1581413500.922212-FJ9913-1_pt7oxp.jpg?auto=compress&cs=tinysrgb&fit=crop&dpr=2&q=30&w=738&h=738&format=pjpg
7,Ladies,Callaway-Pom-Pom-Beanie-Black,https://cdn-us-ec.yottaa.net/58f0c36232f01c6abd17a924/www.callawaygolf.com/v~4b.3f/dw/image/v2/AADH_PRD/on/demandware.static/-/Sites-CGI-ItemMaster/en_US/v1587419107171/sits/headwear-2019-pom-pom-beanie-womens/headwear-2019-pom-pom-beanie-womens_1___1.png?sfrm=png&yocs=y_,,,,,,,,,,,,,,,,,
8,Ladies,Callaway-Pom-Pom-Beanie-Grey,https://cdn-us-ec.yottaa.net/58f0c36232f01c6abd17a924/www.callawaygolf.com/v~4b.3f/dw/image/v2/AADH_PRD/on/demandware.static/-/Sites-CGI-ItemMaster/en_US/v1587419107171/sits/headwear-2019-pom-pom-beanie-womens/headwear-2019-pom-pom-beanie-womens_381___1.png?sfrm=png&yocs=y_,,,,,,,,,,,,,,,,,
9,Ladies,Callaway-Pom-Pom-Beanie-White,https://cdn-us-ec.yottaa.net/58f0c36232f01c6abd17a924/www.callawaygolf.com/v~4b.3f/dw/image/v2/AADH_PRD/on/demandware.static/-/Sites-CGI-ItemMaster/en_US/v1587419107171/sits/headwear-2019-pom-pom-beanie-womens/headwear-2019-pom-pom-beanie-womens_8257___1.png?sfrm=png&yocs=y_,,,,,,,,,,,,,,,,Adidas-ULT-365-Pencil-Stripe-Polo-White-Grey-Three-Black,"https://assets.adidas.com/images/w_840,h_840,f_auto,q_auto:sensitive,fl_lossy/298c426d656d4eda8ef4aad90150d6b9_9366/Ultimate365_Pencil_Stripe_Polo_Shirt_White_FJ9943_21_model.jpg"
10,Ladies,Puma-Fusion-Polo-Peacoat,https://cdn.shopify.com/s/files/1/0312/6537/products/595825-Peacoat-F_1024x1024.jpg?v=1581701871,,,,,,,,,,,,,,,,,
